"Vendor","PEN","AuditedCapabilityFamilies","CurrentCompatibilityPercent","CurrentStatus","ImplementationWave","ParentFeatureIDs","RequiredProductionEvidence","Source"
"Quintum","6618","Captive portal/hotspot/guest; Dynamic authorization; NAS/device management; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"RCNTEC","46235","Accounting/session; Authorization/policy","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"RedCreek","1958","IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Riverbed","17163","Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Riverstone","5567","NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Roaring-Penguin","10055","Accounting/session; Captive portal/hotspot/guest; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Ruckus","25053","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","5.36","Partial: 9 VSA mapping(s): access.role; access.vlan; accounting.identity; device.group; governance.tenant; guest.portal_profile; posture.device_state","E4 - Ruckus/ICX access","NAS-0064;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"RuggedCom","15004","Authorization/policy","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"SG","2454","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Shasta","3199","Authorization/policy; Security/VPN/posture","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Shiva","166","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Dynamic authorization; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Siemens","4329","802.1X/enterprise Wi-Fi; Authorization/policy; Captive portal/hotspot/guest; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Slipstream","7000","Authentication","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"SmartShareSystems","30585","Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"SofaWare","6983","Captive portal/hotspot/guest; NAS/device management; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E5 - Security gateways","NAS-0065;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"SoftBank","22197","IP addressing/routing; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"SonicWall","8741","Authorization/policy","50","Partial: 3 VSA mapping(s): access.role","E5 - Security gateways","NAS-0065;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"SpringTide","3551","Accounting/session; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; IP addressing/routing; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Starent","8164","802.1X/enterprise Wi-Fi; Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Surfnet","1076","Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Symbol","388","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Telebit","117","Accounting/session; Authentication; NAS/device management","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Telkom","1431","Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Telrad","5323","Bandwidth/QoS; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"TERENA","25178","Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"TPLink","11863","Authentication; Bandwidth/QoS; Captive portal/hotspot/guest; NAS/device management; Tenant/location","33.33","Partial: 6 VSA mapping(s): device.group; governance.tenant; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","E7 - SMB/branch access","NAS-0067;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Trapeze","14525","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Travelping","18681","802.1X/enterprise Wi-Fi; Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"TrippLite","850","Authentication; Authorization/policy; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Tropos","14529","Accounting/session; Authorization/policy; Bandwidth/QoS; IP addressing/routing; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"T-Systems-Nova","16787","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"UKERNA","25622","Authentication; Authorization/policy; IP addressing/routing; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Unix","4","Authorization/policy; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"USR","429","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"UTStarcom","7064","Accounting/session; Bandwidth/QoS; IP addressing/routing; Mobile/core/charging; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"ValemountNetworks","16313","ISP/broadband/subscriber; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"VasExperts","43823","Accounting/session; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"VerizonWireless","12951","Accounting/session; Authorization/policy; Mobile/core/charging; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Versanet","2180","IP addressing/routing","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Walabi","2004","Accounting/session; Authentication","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Waverider","2979","802.1X/enterprise Wi-Fi; Authentication; Authorization/policy; Bandwidth/QoS; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Wichorus","27030","Authorization/policy","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"WiFi-Alliance","40808","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Mobile/core/charging; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"WiMAX","24757","ISP/broadband/subscriber","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"WISPr","14122","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Vendor-specific/other","5.88","Partial: 2 VSA mapping(s): qos.download_bandwidth; qos.upload_bandwidth","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Xedia","838","ACL/firewall policy; Authentication; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Xylan","800","Authentication; Authorization/policy; Captive portal/hotspot/guest; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Yubico","41482","Accounting/session; Authentication","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Zeus","7146","Authorization/policy","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"ZTE","3902","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Security/VPN/posture; Tenant/location; Vendor-specific/other","6.12","Partial: 6 VSA mapping(s): access.bandwidth_profile; access.role; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","B1 - Huawei/H3C/ZTE broadband","NAS-0068;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Zyxel","890","Authorization/policy; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
